Shipment Date,CountryName,Product,BDS$_Value,,,,,,,
02-Jan-13,United States,RESISTORS,"$363,350.50",,,,,,,
03-Jan-13,United States,SWEETENED BISCUITS,"$41,444.82",,,,,,,
03-Jan-13,United States,SAILS,"$2,048.00",,,,,,,
03-Jan-13,United States,SAILS,$846.00,,,,,,,
03-Jan-13,United States,TORTUGA RUM CAKES,"$48,842.40",,,,,,,
07-Jan-13,United States,SWEETENED BISCUITS,"$43,490.24",,,,,,,
07-Jan-13,United States,RUM,"$163,188.06",,,,,,,
07-Jan-13,Canada,RUM,"$93,569.28",,,,,,,
07-Jan-13,Canada,RUM,"$60,360.20",,,,,,,
08-Jan-13,United States,SAILS,"$4,590.00",,,,,,,
08-Jan-13,United States,SAILS,"$4,174.00",,,,,,,
08-Jan-13,United States,SAILS,"$18,601.42",,,,,,,
08-Jan-13,United States,SAILS,"$10,094.00",,,,,,,
08-Jan-13,United States,RUM,"$370,347.48",,,,,,,
08-Jan-13,Canada,FRESH  PRODUCE ,"$1,240.00",,,,,,,
08-Jan-13,Canada,CUT FLOWERS,$588.00,,,,,,,
08-Jan-13,Canada,CUT FLOWERS,$700.00,,,,,,, 
09-Jan-13,United States,RUM,"$265,731.04",,,,,,,
09-Jan-13,United States,RUM,"$357,331.66",,,,,,,
09-Jan-13,Canada,RUM,"$182,818.70",,,,,,,
09-Jan-13,Canada,RUM,"$236,271.60",,,,,,,
10-Jan-13,United States,RESISTORS,"$368,497.50",,,,,,,
10-Jan-13,United States,RUM,"$703,920.24",,,,,,,
14-Jan-13,United States,SAILS,"$4,870.00",,,,,,,
14-Jan-13,United States,SAILS,"$22,883.98",,,,,,,
14-Jan-13,United States,SAILS,"$7,410.00",,,,,,,
14-Jan-13,United States,RUM,"$195,872.46",,,,,,,
14-Jan-13,United States,RUM,"$206,189.82",,,,,,,
14-Jan-13,Canada,RUM,"$236,296.76",,,,,,,
14-Jan-13,Canada,CUT FLOWERS,$588.00,,,,,,,
