CommodityCode,Description, Export Value 
1701110000,"CANE SUGAR,RAW, NOT CONTAINING ADDED FLAVOURING\COLOURING MATTER."," 7,078,727 "
3004909000,OTH.MEDICA.CONSIST.OF MIXED/UNMIXED PROD.FOR THERAPEUTIC ETC.," 4,689,393 "
8533390000,OTHER WIREWOUND VARIABLE RESISTORS INCL. RHEOSTATS & POTENTIOMETERS," 3,419,654 "
8903910000,"SAILBOATS, WITH OR WITHOUT AUXILIARY MOTOR"," 2,328,042 "
2208409000,OTHER RUM AND TAFIA ," 2,184,587 "
8803300000,OTHER PARTS OF AEROPLANES OR HELICOPTERS," 1,130,543 "
2208401000,"RUM/TAFIA, IN BOTTLES  OF  STRENGTH NOT EXCEEDING 46% VOL."," 945,525 "
9801200000,PERSONAL EFFECTS ," 813,289 "
9021390000,OTHER ARTIFICIAL PARTS OF THE BODY ," 791,891 "
9006590000,OTHER  CAMERAS ," 528,915 "
9801100000,HOUSEHOLD EFFECTS ," 449,750 "
2208700010,FALERNUM ," 336,274 "
0207149010,"OTHER CUTS OF FOWLS OF THE SPECIES GALLUS DOMESTICUS, FROZEN"," 282,824 "
2208501000,GIN/GENEVA IN BOTTLES OF STRENGTH NOT EXCEEDING 46% VOL.," 261,282 "
2103901000,PEPPER SAUCE ," 208,355 "
1905310090,OTHER SWEET BISCUITS ," 204,045 "
8205590000,OTHER HAND TOOLS  (INCLUDING GLAZIER'S  DIAMONDS)," 183,977 "
9021900000,OTH. APPLIANCES IMPLANTED IN THE BODY TO COMPENSATE FOR A DEFECT," 149,273 "
0810905000,"BREADFRUIT, FRESH "," 148,840 "
2203009040,OTHER BEER IN OTHER CONTAINERS CONTAINING > 4% BUT <= 5% ALCOHOL," 120,166 "
8525201000,PORTABLE RADIO-TELEPHONES ," 103,273 "
2106901000,MAUBY SYRUP ," 92,900 "
0407003000,OTHER FRESH EGGS. ," 74,390 "
8452290000,OTHER SEWING MACHINES ," 69,600 "
9701101000,PAINTINGS ," 66,054 "
4821100010,PRINTED PAPER LABELS OF PAPER OR PAPERBOARD," 55,166 "
8517500000,"OTHER APPARATUS, FOR CARRIER-CURRENT LINE SYS. / FOR DIGITAL LINE SYSTEMS"," 52,000 "
8533400000,OTHER VARIABLE RESISTORS INCLUDING RHEOSTATS AND POTENTIOMETERS," 42,826 "
0804400010,"AVOCADOS, FRESH "," 42,351 "
8425490000,OTHER JACKS AND HOISTS OF A KIND USED FOR RAISING VEHICLES," 39,240 "
8408900000,OTHER DIESEL OR SEMI-DIESEL ENGINES ," 37,990 "
8803900000,OTHER PARTS OF GOODS OF HEADING 88.01 OR 88.02," 36,875 "
2201909000,"OTHER WATERS, WITHOUT SUGAR ETC; INC. ICE/SNOW"," 34,673 "
1905909090,OTHER ," 31,424 "
8471700000,STORAGE UNITS ," 30,896 "
9018390000,"OTHER MEDICAL NEEDLES, CATHETERS, CANNULAE AND THE LIKE"," 23,528 "
0106909000,OTHER LIVE ANIMALS ," 19,800 "
8407290000,OTHER SPARK-IGNITION MARINE PROPULSION ENGINES," 19,600 "
0810907000,"AKEE(ACKEE) (BLIGHIA SAPIDA KOENIG), FRESH"," 18,307 "
0401200000,"MILK & CREAM, OF A FAT CONTENT,BY WEIGHT,EXCEEDING 1% BUT NOT 6%"," 17,790 "
2103909000,OTHER SAUCES/PREPS.OTHER MIXED CONDIMENTS/SEASONINGS," 17,164 "
2106902000,OTHER FLAVOURED OR COLOURED SUGAR SYRUPS," 16,481 "
9033000000,"PARTS/ACCESSORIES, NES, FOR MACHINES APPLIANCES, INSTRUMENTS OF CHP 90"," 16,145 "
4911999000,OTHER PRINTED MATTER ," 15,151 "
9701900000,COLLAGES AND SIMILAR DECORATIVE PLAQUES," 12,743 "
7118909000,OTHER COIN ," 12,018 "
0106903000,LIVE DOGS. ," 10,857 "
8507800000,OTHER ELECTRIC ACCUMULATORS ," 10,440 "
0701900000,"OTHER POTATOES,FRESH OR CHILLED "," 10,350 "
0101100000,"LIVE HORSES,ASSES MULES AND HINNES, PURE-BRED"," 10,000 "
1905901010,"BISCUITS, UNSWEETENED "," 9,671 "
8483409000,"OTHER GEARS & GEARINGS, BALL OR ROLLER SCREWS, GEAR BOXES ETC."," 8,650 "
2007993000,GUAVA JAM AND JELLIES ," 8,327 "
3825690000,"OTHER WASTES FROM CHEMICAL OR INDUSTRIES, NES."," 7,743 "
3822000000,DIANOSTIC & LABORATORY REAGENTS WHETHER OR NOT PREPARED ON A BACKING," 7,366 "
9019200000,"OZONE, OXYGEN, AEROSOL THERAPHY, ARTIFICIAL RESPIRATION APPARATUS"," 7,250 "
8205900000,"SETS OF ARTICLES, TWO\MORE OF THE FORGOING SUBHEADINGS"," 7,000 "
8536410000,RELAYS FOR A VOLTAGE <= 60 V ," 7,000 "
4901999000,"OTHER PRINTED BOOKS, LEAFLETS AND SIMIL.PRINT.MATTER,NOT IN SINGLE SHE"," 6,510 "
1101009010,OTHER WHEAT FLOUR ," 6,432 "
6102200000,WOMEN'S OR GIRLS' OVERCOATS ETC. KNITTED OR CROCHETED OF COTTON," 6,215 "
0603109000,"OTHER FRESH,CUT FLOWERS AND BUDS FOR ORNAMENTS OR BOUQUETS"," 6,000 "
8471300000,"PORTABLE DIGITAL AUTOMATIC DATA PROCESSING MACHINES, WGT.<=10 KG ETC"," 5,936 "
4901109000,"OTHER PRINTED BOOKS & SIMIL. PRINTED MATTER IN SING.SHEETS, WHET./NOT FOL"," 5,024 "
0807200000,"PAPAWS (PAPAYAS), FRESH. "," 4,707 "
2202109000,OTHER WATERS INC. MINERAL/AERATED WITH ADDED SUGAR ETC," 4,392 "
2202101000,AERATED BEVERAGES ," 4,306 "
8517800000,OTHER ELECTRICAL APPARATUS FOR LINE TELEPHONY OR LINE TELEGRAPHY," 4,300 "
8479890000,"OTHER MACHINES/MECH. APPLIANCES HAVING INDIVIDUAL FUNCTIONS,N.E.S"," 4,200 "
0807191000,"CANTALOUPES, FRESH "," 3,760 "
9703000000,"ORIGINAL SCULPTURES AND STATUARY, IN ANY MATERIAL"," 3,600 "
9004900000,"SPECTACLES, GOGGLES AND THE LIKE, CORRECTIVE ETC. EXCL SUNGLASSES"," 3,593 "
4416001000,"CASKS,BARRELS AND PUNCHEON OF OAK "," 3,390 "
8539490000,ULTRA-VIOLET OR INFRA-RED LAMPS ," 3,299 "
8471500000,DIGITAL PROC.UNITS EXCL. 8471.41 OR 8471.49," 3,200 "
5208119000,"OTHER PLAIN WEAVE OF COTTON,UNBLEACH CONT. >=85% COTTON, <=100G/M2"," 2,997 "
8204110000,NON-ADJUSTABLE HAND-OPERATED SPANNERS AND WRENCHES," 2,768 "
9506310000,"GOLF-CLUBS, COMPLETE "," 2,761 "
6912009000,"OTHER CERAMIC HOUSEHOLD AND TOILET ARTICLES, OTHER THAN OF PORCE/CHINA"," 2,686 "
