PRODUCTS DETAIL,,,,,,,,,,,,,,
,,MANUFACTURER DETAIL,,,,,,,,,DISTRIBUTOR DETAIL,,,
PRODUCT,DESCRIPTION,MANUFACTURER,ADDRESS,RETAIL ADDRESS,COUNTRY,TEL #,FAX #,WEBSITE ADDRESS LINK,TAGS,,DISTRIBUTOR #1 -  DETAIL,DISTRIBUTOR #2 -  DETAIL,DISTRIBUTOR #3 -  DETAIL,NOTES/OTHER DETAIL
,,,,,,,,,,,,,,
SHIRLEY BISCUITS - REGULAR,Sweetened Biscuits,WIBISCO,"Gills Rd, Bridgetown, St. Michael",,,246-227-6200,246-426-5053,www.wibisco.com ,,,,,,
SHIRLEY BISCUITS - REGULAR SNACK PACK,Sweetened Biscuits,WIBISCO,"Gills Rd, Bridgetown, St. Michael",,,246-227-6200,246-426-5053,www.wibisco.com ,,,,,,
SHIRLEY BISCUIITS - COCONUT,Sweetened Biscuits,WIBISCO,"Gills Rd, Bridgetown, St. Michael",,,246-227-6200,246-426-5053,www.wibisco.com ,,,,,,
SHIRLEY BISCUITS - COCONUT SNACK PACK,Sweetened Biscuits,WIBISCO,"Gills Rd, Bridgetown, St. Michael",,,246-227-6200,246-426-5053,www.wibisco.com ,,,,,,
SHIRLEY BISCUITS - WHEAT CRUNCH,Sweetened Biscuits,WIBISCO,"Gills Rd, Bridgetown, St. Michael",,,246-227-6200,246-426-5053,www.wibisco.com ,,,,,,
SHIRLEY BISCUITS - WHEAT CRUNCH SNACK PACK,Sweetened Biscuits,WIBISCO,"Gills Rd, Bridgetown, St. Michael",,,246-227-6200,246-426-5053,www.wibisco.com ,,,,,,
ECLIPSE BISCUITS - ORIGINAL,Unsweetened biscuits,WIBISCO,"Gills Rd, Bridgetown, St. Michael",,,246-227-6200,246-426-5053,www.wibisco.com ,,,,,,
SODABIX BISCUITS - ORIGINAL,Unsweetened biscuits,WIBISCO,"Gills Rd, Bridgetown, St. Michael",,,246-227-6200,246-426-5053,www.wibisco.com ,,,,,,
WIBISCO BRAN AND OAT CRACKERS,Unsweetened biscuits,WIBISCO,"Gills Rd, Bridgetown, St. Michael",,,246-227-6200,246-426-5053,www.wibisco.com ,,,,,,
