Certified Exporters for 2015 - 2018,,,,,,,
,,,,,,,
BusinessName,Address1,Address2,SubSector,2015,2016,2017,2018
10 SAINTS BREWERY CO. LTD.,AL MARINE HOUSE,"SAND STREET, ST. PETER",MANUFACTURE OF BEVERAGES,YES,YES,YES,
3D LIGHTING SOLUTIONS INC,FOUL BAY,ST. PHILIP,MANUFACTURE OF ELECTRIC LAMPS AND LIGHTING EQUIPMENT,YES,,YES,
A M Enterprises Ltd ,,,MANUFACTURE OF OTHER FOOD PRODUCTS,YES,YES,YES,YES
ACUTE VISION INC.,,,PUBLISHING,YES,,,
AGAPEY CHOCOLATE FACTORY,OLD COLGATE PALMOLIVE BUILDING,"HARBOUR ROAD, BRODGETOWN",MANUFACTURE OF OTHER FOOD PRODUCTS,,,YES,YES
ALCOY INDUSTRIES INC.  ,P. O. Box 1076,"11 NEWTON INDUSTRIAL PARK, CH CH",MANUFACTURE OF BASIC CHEMICALS,YES,YES,YES,YES
ANDREA WELCH,WAVELL AVENUE,"BLACK ROCK, ST MICHAEL",BUSINESS ACTIVITIES N.E.C.,YES,,,
ANDREW NUNEZ,KENDAL PLANTATION,ST. JOHN,AGRICULTURAL AND ANIMAL HUSBANDRY SERVICE ACTIVITIES,YES,,,
ANNE-MARIE DUPRE,BECKWITH STREET,BRIDGETOWN,OTHER SERVICE ACTIVITIES N.E.C,,YES,,
ANTIQUE CREATIONS LTD.,Building #4,Six Roads Industrial Park,MANUFACTURE OF FURNITURE,YES,,,
ARAWAK CEMENT CO LTD  ,Checker Hall,ST. LUCY,MANUFACTURE OF NON-METALLIC MINERAL PRODUCTS N.E.C.,YES,YES,YES,YES
Armstrong Agencies Ltd. ,,,MANUFACTURE OF BEVERAGES,,YES,,
ARMSTRONG MANUFACTURING LTD.  ,Fontabelle,ST. MICHAEL,MANUFACTURE OF BEVERAGES,YES,YES,YES,YES
ASHROY FORDE,#21 KINGS BEACH VILLA,ST. PETER,BUSINESS ACTIVITIES N.E.C.,,YES,YES,
ASPHALT PROCESSORS INC.  ,Lower Greys,CHRIST CHURCH,MANUFACTURE OF NON-METALLIC MINERAL PRODUCTS N.E.C.,YES,YES,YES,YES
Atiba aluko ,,,"FARMING OF CATTLE, ASSES, MULES AND DAIRY FARMING",,,YES,
BAJAN BALMZ AROMATHERAPHY SERVICES INC,OLIVE LODGE ROAD,"LOWER HOLDERS HILL, ST. JAMES",OTHER SERVICE ACTIVITIES N.E.C,YES,,,
Banks (B'dos) Breweries Ltd ,P.O.Box 507C,Wildey,MANUFACTURE OF BEVERAGES,YES,YES,YES,YES
BARBADOS BOTTLING CO. LTD,P.O. Box 226,CHRIST CHURCH,MANUFACTURE OF BEVERAGES,YES,YES,YES,YES
BARBADOS DAIRY INDUSTRIES LTD.  ,Pine Hill,ST. MICHAEL,MANUFACTURE OF OTHER FOOD PRODUCTS,YES,YES,YES,YES
BARBADOS INDUSTRIES LTD.  ,Grazettes Industrial Park,ST. MICHAEL,MANUFACTURE OF DAIRY PRODUCTS,,YES,,
BARBADOS INVESTMENT & DEVELOPMENT CORPORATION,"PELICAN HOUSE,PRINCESS ALICE HWY","P.O.BOX 1250,B'TOWN,BARBADOS",BUSINESS ACTIVITIES N.E.C.,YES,,,YES
Barbados Mills Ltd ,,,MANUFACTURE OF OTHER FOOD PRODUCTS,YES,YES,YES,YES
BARBADOS NATIONAL OIL CO. LTD. ,Woodbourne,ST. PHILIP,MANUFACTURE OF BASIC CHEMICALS,YES,YES,YES,YES
Barbados Turf Club ,,,"FARMING OF CATTLE, ASSES, MULES AND DAIRY FARMING",YES,,,
BARRY BOVELL,#122 PILLERSDORF DEVELOPMENT,"LONG GAP, ST. MICHAEL, BARBADOS",OTHER SERVICE ACTIVITIES N.E.C,,YES,,
BASHIR YASIN (FINTRY),SHERATON PARK ,CHRIST CHURCH ,AGRICULTURAL AND ANIMAL HUSBANDRY SERVICE ACTIVITIES,,,YES,
BERGER PAINTS BARBADOS LTD.  ,P O Box 218,Bridgetown,MANUFACTURE OF BASIC CHEMICALS,YES,YES,YES,YES
BIBI'S SNACKS INC,BLDG 6 GRAZETTES INDUSTRIAL ESTATE,"GRAZETTES, ST. MICHAEL",MANUFACTURE OF OTHER FOOD PRODUCTS,,,YES,YES
BICO LTD.  ,Harbour Industrial Park,ST. MICHAEL,MANUFACTURE OF OTHER FOOD PRODUCTS,YES,YES,YES,YES
BIRD'S NEST FOODS  ,#27 Bayview  Avenue,Bayville,MANUFACTURE OF OTHER FOOD PRODUCTS,,YES,,
BLADES D TROPHIES LTD.  ,Golf Club Road,Rockley,MANUFACTURING N.E.C.,,,YES,
BRC WEST INDIES LTD  ,Cane Garden,ST. THOMAS,"OTHER FABRICATED METAL PRODUCTS, WORKING SERVICE ACTIVITIES",YES,YES,YES,YES
Brothers Woodwork Inc ,Grazettes Industrial Estate,Grazettes,"PRODUCTS OF WOOD,CORK,STRAW & PLAITING MATERIALS",,,,YES
B'S BOTTLE DEPOT,CANE GARDEN,ST THOMAS,BUSINESS ACTIVITIES N.E.C.,YES,YES,YES,
C & G Star Trading Ltd. ,Building #1,Grantley Adams Industrial Estate,MANUFACTURE OF OTHER FOOD PRODUCTS,YES,,,
C.O. WILLIAMS  ASPHALT & QUARRIES LTD.  ,Lears,ST. MICHAEL,MANUFACTURE OF NON-METALLIC MINERAL PRODUCTS N.E.C.,YES,YES,YES,YES
C.O. WILLIAMS ASPHALT & QUARRIES LTD.,LEARS QUARRY,ST. MICHAEL,BUSINESS ACTIVITIES N.E.C.,YES,YES,YES,YES
CARIB ISLAND DESIGNS LTD.  ,"Building #14, Unit 2A",Wildey Industrial Park,"SPINNING, WEAVING AND FINISHING OF TEXTILES",YES,YES,YES,YES
CARIBBEAN CONFECTION COMPANY (1959) LTD.  ,Edghill,ST. THOMAS,MANUFACTURE OF OTHER FOOD PRODUCTS,YES,YES,YES,YES
CARIBBEAN LABEL CRAFTS LTD.  ,Wildey Industrial Park,ST. MICHAEL,PRINTING AND SERVICE ACTIVITIES RELATED TO PRINTING,YES,YES,YES,YES
CARIBBEAN LED LIGHTING INC,"36 TRINITY COURT, WARRENS IND. PARK",ST MICHAEL,MANUFACTURE OF ELECTRIC LAMPS AND LIGHTING EQUIPMENT,YES,YES,YES,YES
CARIBBEAN SHADE PRODUCTS INC,GIBBONS INDUSTRIAL PARK,"GIBBONS, CHRIST CHURCH","OTHER FABRICATED METAL PRODUCTS, WORKING SERVICE ACTIVITIES",,,YES,
CARIBSUPPLY (BARBADOS) LTD,CHEAPSIDE,ST MICHAEL,MANUFACTURE OF BASIC CHEMICALS,YES,YES,YES,YES
Carlisle Laboratories Ltd ,Warrens Industrial Park,ST. MICHAEL,HUMAN HEALTH ACTIVITIES,YES,YES,YES,YES
CECIL P ERNEST,PROUTE ROAD,ST. MICHAEL,AGRICULTURAL AND ANIMAL HUSBANDRY SERVICE ACTIVITIES,YES,YES,YES,
CHARLES FORDE,"KINGSLAND, CHRIST CHURCH",,MANUFACTURE OF PLASTICS PRODUCTS,YES,,YES,
Chemical Industries Ltd ,Grantley Adams Industrial Park,CHRIST CHURCH,MANUFACTURE OF BASIC CHEMICALS,YES,YES,YES,YES
Chickmont Foods Ltd ,Balls Plantation,CHRIST CHURCH,"OTHER ANIMAL FARMING, PRODUCTION OF ANIMAL PRODUCTS N.E.C.",YES,YES,YES,YES
CLASSIC VISIONS ,UPLANDS,ST. JOHN,HUMAN HEALTH ACTIVITIES,YES,YES,YES,YES
Coles Engineering Ltd ,Lowlands,CHRIST CHURCH,"OTHER FABRICATED METAL PRODUCTS, WORKING SERVICE ACTIVITIES",YES,YES,,
COLES PRINTERY LTD,Wildey,ST. MICHAEL,PRINTING AND SERVICE ACTIVITIES RELATED TO PRINTING,YES,YES,YES,YES
Collins Limited ,,,HUMAN HEALTH ACTIVITIES,YES,YES,YES,YES
CONTAINERS PLUS,THORNBURY HILL COOMPLEX,CHRIST CHURCH,MANUFACTURE OF PLASTICS PRODUCTS,YES,YES,YES,YES
CORAL RENDER PRODUCTS INC,CHAPEL QUARRY,ST PHILIP,MANUFACTURE OF NON-METALLIC MINERAL PRODUCTS N.E.C.,YES,,,YES
CORE COVER MANUFACTURING INC,SEARLES FACTORY ROAD,CHRIST CHURCH,BLDG.OF COMPLETE CONSTRUCTIONS OF PARTS THEREOF;CIVIL ENG.,,YES,,
COREY BOSTIC,NO. 433 EMERALD PARK WEST,"SIX ROADS, ST. PHILIP",AGRICULTURAL AND ANIMAL HUSBANDRY SERVICE ACTIVITIES,,,,YES
COT HOLDINGS LTD,16 NEWTON INDUSTRIAL ESTATE,,PRINTING AND SERVICE ACTIVITIES RELATED TO PRINTING,YES,YES,YES,YES
CREATIVE PAVING SOLUTIONS INC.,"LEARS QUARRY, LEARS, ST. MICHAEL",,MANUFACTURING N.E.C.,YES,YES,YES,YES
CROWN PACKAGING (B'DOS) LTD,BUILDING #8,,"OTHER FABRICATED METAL PRODUCTS, WORKING SERVICE ACTIVITIES",YES,YES,YES,YES
CRS MUSIC & MEDIA LTD,16 NEWTON INDUSTRIAL EXTATE,CHRIST CHURCH,MANUFACTURING N.E.C.,YES,,YES,
Curacao Laboratories Ltd ,P.O. Box 1096,Fontabelle,HUMAN HEALTH ACTIVITIES,YES,YES,YES,YES
CURTIS CHOW,FLAGSTAFF,ST MICHAEL,BUSINESS ACTIVITIES N.E.C.,YES,YES,YES,YES
CYBELE BOTANISTS INC,6 WESTMORELAND RIDGE,ST. JAMES,BUSINESS ACTIVITIES N.E.C.,,,YES,
D Blades Trophies Ltd ,,,"PRODUCTS OF WOOD,CORK,STRAW & PLAITING MATERIALS",YES,,,
DCI MANAGEMENT INC.,33 WARRENS INDUSTRIAL PARK,ST. MICHAEL,BUSINESS ACTIVITIES N.E.C.,,,YES,
Designer Decor ,"Building #14, Unit A",Wildey Industrial Park,MANUFACTURE OF FURNITURE,,,YES,
DIGILABELS INC,"BLDG #1 SQUAREFOOT COMPLEX, ","LOWER ESTATE, ST MICHAEL",MANUFACTURE OF PAPER AND PAPER PRODUCTS,YES,YES,YES,YES
Don Boyce ,,,"OTHER ANIMAL FARMING, PRODUCTION OF ANIMAL PRODUCTS N.E.C.",YES,YES,,
